obs_id,source_row_id,year,exporter_code,importer_code,hs6,family_id,quality_status,exclusion_reason,value_valid_flag,quantity_valid_flag,benchmark_join_status,source_filename,source_version
obs_c1ed14354030abce46c9,baci_f2d24b3fa5df426df9176351,2022,276,376,740311,refined_copper_cathodes,usable_with_caveat,short_history,True,True,matched,baci_hs17_v202601_selected_2017_2024_151110_740311_710812.parquet,CEPII_BACI_HS17_V202601_filtered_official_derived
obs_132d36e592b3a9505db7,baci_f952b745f3e7167463709e43,2022,276,428,740311,refined_copper_cathodes,usable_with_caveat,short_history,True,True,matched,baci_hs17_v202601_selected_2017_2024_151110_740311_710812.parquet,CEPII_BACI_HS17_V202601_filtered_official_derived
obs_e90c03431e560a704fc9,baci_ed5866f296c28772cfc7151b,2022,276,484,740311,refined_copper_cathodes,usable_with_caveat,short_history,True,True,matched,baci_hs17_v202601_selected_2017_2024_151110_740311_710812.parquet,CEPII_BACI_HS17_V202601_filtered_official_derived
obs_4b6e86cd26fe5017f577,baci_b590e081eada5e2de3fffb2b,2022,276,504,740311,refined_copper_cathodes,usable_with_caveat,valid_extreme_retained,True,True,matched,baci_hs17_v202601_selected_2017_2024_151110_740311_710812.parquet,CEPII_BACI_HS17_V202601_filtered_official_derived
obs_c2efeb2baeebc22d80ea,baci_197cb9381c1f3f64b77d6676,2022,276,688,740311,refined_copper_cathodes,usable_with_caveat,valid_extreme_retained,True,True,matched,baci_hs17_v202601_selected_2017_2024_151110_740311_710812.parquet,CEPII_BACI_HS17_V202601_filtered_official_derived
obs_86863ae5172cef575fb5,baci_6e3bebda085ad39cc33a387b,2022,276,792,740311,refined_copper_cathodes,usable_with_caveat,valid_extreme_retained,True,True,matched,baci_hs17_v202601_selected_2017_2024_151110_740311_710812.parquet,CEPII_BACI_HS17_V202601_filtered_official_derived
obs_96473dae6c94c40ccd57,baci_ae7f05022913cf870390620f,2022,276,818,740311,refined_copper_cathodes,usable_with_caveat,short_history,True,True,matched,baci_hs17_v202601_selected_2017_2024_151110_740311_710812.parquet,CEPII_BACI_HS17_V202601_filtered_official_derived
obs_9b04c8d54f88bbf50e1d,baci_4185c60259939644b5e9543b,2022,300,203,740311,refined_copper_cathodes,usable_with_caveat,short_history,True,True,matched,baci_hs17_v202601_selected_2017_2024_151110_740311_710812.parquet,CEPII_BACI_HS17_V202601_filtered_official_derived
obs_a08c80df5e9cb830ae32,baci_f9701c43c78433ccc71dc94d,2022,300,266,740311,refined_copper_cathodes,usable_with_caveat,short_history,True,True,matched,baci_hs17_v202601_selected_2017_2024_151110_740311_710812.parquet,CEPII_BACI_HS17_V202601_filtered_official_derived
obs_f47aef2afbd8de3de6eb,baci_12d409bf912b506b45273043,2022,300,430,740311,refined_copper_cathodes,usable_with_caveat,short_history,True,True,matched,baci_hs17_v202601_selected_2017_2024_151110_740311_710812.parquet,CEPII_BACI_HS17_V202601_filtered_official_derived
obs_7212f9194ec9151cf627,baci_0a41b8ef8edda6d32a313caa,2022,344,376,740311,refined_copper_cathodes,usable_with_caveat,short_history,True,True,matched,baci_hs17_v202601_selected_2017_2024_151110_740311_710812.parquet,CEPII_BACI_HS17_V202601_filtered_official_derived
obs_1a7a726a1a4d5b2b184a,baci_64c2d0899173bdbde5462fe5,2022,348,156,740311,refined_copper_cathodes,usable_with_caveat,short_history,True,True,matched,baci_hs17_v202601_selected_2017_2024_151110_740311_710812.parquet,CEPII_BACI_HS17_V202601_filtered_official_derived
obs_62b4bb3d8cf2a4704f1c,baci_ae347a8d53993e726e2de91f,2022,360,36,740311,refined_copper_cathodes,usable_with_caveat,short_history,True,True,matched,baci_hs17_v202601_selected_2017_2024_151110_740311_710812.parquet,CEPII_BACI_HS17_V202601_filtered_official_derived
obs_014043475b890b299626,baci_b20dcb5ed9669fcf48036565,2022,360,246,740311,refined_copper_cathodes,usable_with_caveat,short_history,True,True,matched,baci_hs17_v202601_selected_2017_2024_151110_740311_710812.parquet,CEPII_BACI_HS17_V202601_filtered_official_derived
obs_a3b1b9a60af3101225c4,baci_474a6898a9179477bb17e2b8,2022,364,268,740311,refined_copper_cathodes,usable_with_caveat,short_history,True,True,matched,baci_hs17_v202601_selected_2017_2024_151110_740311_710812.parquet,CEPII_BACI_HS17_V202601_filtered_official_derived
obs_7d48f356a6fb308ac625,baci_dd973c5c61cdbb32e146e403,2022,364,380,740311,refined_copper_cathodes,usable_with_caveat,short_history,True,True,matched,baci_hs17_v202601_selected_2017_2024_151110_740311_710812.parquet,CEPII_BACI_HS17_V202601_filtered_official_derived
obs_cd9fa99ba78002c3cc6d,baci_6ed9fe5b44d33125dbe866eb,2022,364,579,740311,refined_copper_cathodes,usable_with_caveat,short_history,True,True,matched,baci_hs17_v202601_selected_2017_2024_151110_740311_710812.parquet,CEPII_BACI_HS17_V202601_filtered_official_derived
obs_a8db8edc257a68b10347,baci_911e3918a004bcb6ec1ad8ea,2022,380,51,740311,refined_copper_cathodes,usable_with_caveat,short_history,True,True,matched,baci_hs17_v202601_selected_2017_2024_151110_740311_710812.parquet,CEPII_BACI_HS17_V202601_filtered_official_derived
obs_35be7d2658edbec17cc3,baci_5f172eec1289db5469a1499d,2022,380,352,740311,refined_copper_cathodes,usable_with_caveat,short_history;valid_extreme_retained,True,True,matched,baci_hs17_v202601_selected_2017_2024_151110_740311_710812.parquet,CEPII_BACI_HS17_V202601_filtered_official_derived
